order_id,invoice_number,order_date,order_time,product_name,brand_name,sub_category,qty,total_amount,customer_number,salesperson_name,store_name
ORD1001,INV-20001,2026-05-21,16:16:58,THE FACE SHOP Premium Haircare,THE FACE SHOP,Haircare,4,2177.57,CUST151,Charlie,Brigade Road Flagship
ORD1002,INV-20002,2026-05-20,10:16:58,FACES CANADA Premium Cosmetics,FACES CANADA,Cosmetics,4,4170.41,CUST221,Charlie,Brigade Road Flagship
ORD1003,INV-20003,2026-05-08,10:16:58,PLUM Premium Fragrance,PLUM,Fragrance,4,583.52,CUST204,Charlie,Brigade Road Flagship
ORD1004,INV-20004,2026-05-20,12:16:58,MAC Premium Haircare,MAC,Haircare,3,3336.09,CUST283,Charlie,Brigade Road Flagship
ORD1005,INV-20005,2026-06-01,12:16:58,HUDA BEAUTY Premium Skincare,HUDA BEAUTY,Skincare,4,1412.41,CUST221,Bob,Brigade Road Flagship
ORD1006,INV-20006,2026-05-24,11:16:58,HUDA BEAUTY Premium Skincare,HUDA BEAUTY,Skincare,2,2702.22,CUST208,Alice,Brigade Road Flagship
ORD1007,INV-20007,2026-05-26,14:16:58,FACES CANADA Premium Cosmetics,FACES CANADA,Cosmetics,1,2757.19,CUST244,Bob,Brigade Road Flagship
ORD1008,INV-20008,2026-05-24,07:16:58,FACES CANADA Premium Cosmetics,FACES CANADA,Cosmetics,2,637.95,CUST293,Charlie,Brigade Road Flagship
ORD1009,INV-20009,2026-05-09,08:16:58,SWISS BEAUTY Premium Fragrance,SWISS BEAUTY,Fragrance,3,3719.8,CUST175,Alice,Brigade Road Flagship
ORD1010,INV-20010,2026-05-04,08:16:58,LAKME Premium Cosmetics,LAKME,Cosmetics,3,985.03,CUST202,Charlie,Brigade Road Flagship
ORD1011,INV-20011,2026-05-15,11:16:58,MAC Premium Skincare,MAC,Skincare,3,936.25,CUST241,Charlie,Brigade Road Flagship
ORD1012,INV-20012,2026-05-17,07:16:58,HUDA BEAUTY Premium Fragrance,HUDA BEAUTY,Fragrance,4,2102.97,CUST286,Charlie,Brigade Road Flagship
ORD1013,INV-20013,2026-05-11,09:16:58,MAC Premium Cosmetics,MAC,Cosmetics,2,1046.22,CUST117,Alice,Brigade Road Flagship
ORD1014,INV-20014,2026-05-05,07:16:58,HUDA BEAUTY Premium Haircare,HUDA BEAUTY,Haircare,1,2297.65,CUST280,Charlie,Brigade Road Flagship
ORD1015,INV-20015,2026-05-06,08:16:58,MAYBELLINE Premium Fragrance,MAYBELLINE,Fragrance,1,1014.63,CUST108,Bob,Brigade Road Flagship
ORD1016,INV-20016,2026-05-26,08:16:58,DERMA CO Premium Skincare,DERMA CO,Skincare,2,696.19,CUST100,Charlie,Brigade Road Flagship
ORD1017,INV-20017,2026-05-09,07:16:58,HUDA BEAUTY Premium Haircare,HUDA BEAUTY,Haircare,4,1811.95,CUST197,Alice,Brigade Road Flagship
ORD1018,INV-20018,2026-05-18,09:16:58,FARMSTAY Premium Fragrance,FARMSTAY,Fragrance,4,3798.52,CUST200,Charlie,Brigade Road Flagship
ORD1019,INV-20019,2026-05-25,15:16:58,MAC Premium Haircare,MAC,Haircare,3,957.6,CUST287,Bob,Brigade Road Flagship
ORD1020,INV-20020,2026-05-13,13:16:58,DERMA CO Premium Fragrance,DERMA CO,Fragrance,2,4928.92,CUST204,Bob,Brigade Road Flagship
ORD1021,INV-20021,2026-05-07,12:16:58,THE FACE SHOP Premium Skincare,THE FACE SHOP,Skincare,4,4822.9,CUST248,Alice,Brigade Road Flagship
ORD1022,INV-20022,2026-05-10,14:16:58,LAKME Premium Skincare,LAKME,Skincare,2,507.03,CUST215,Charlie,Brigade Road Flagship
ORD1023,INV-20023,2026-05-09,14:16:58,HUDA BEAUTY Premium Haircare,HUDA BEAUTY,Haircare,1,1119.39,CUST173,Alice,Brigade Road Flagship
ORD1024,INV-20024,2026-05-14,15:16:58,LAKME Premium Cosmetics,LAKME,Cosmetics,2,3408.84,CUST127,Bob,Brigade Road Flagship
ORD1025,INV-20025,2026-05-04,07:16:58,COSRX Premium Fragrance,COSRX,Fragrance,3,4035.32,CUST108,Bob,Brigade Road Flagship
